T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
27.7,33.8,23.5,1009.9,66,3.7,12,22.2,NA
28.4,34.4,25,1009.8,56,4,13.9,22.2,NA
28.6,33.7,24.5,1009.1,54,4,11.7,22.2,NA
28.9,35.7,23,1008.4,61,4,8.3,14.8,NA
29.6,38,23,1009.3,55,3.7,7.4,14.8,NA
30.8,38.3,24,1008.8,42,4,8.9,18.3,NA
28.4,35.5,25.5,1008.5,67,4,11.1,14.8,NA
28.1,33.5,24,1008.9,68,4,9.3,18.3,NA
28.8,34.5,24.5,1007.7,67,4,11.1,18.3,NA
28.8,32.6,26,1008.1,72,4,13,18.3,NA
24.2,27,21.5,1012.1,82,4,6.5,14.8,NA
26.8,31,21,1013,70,4,8,18.3,NA
29.8,36,23.5,1011.1,62,4,7.8,11.1,NA
30.5,36.1,25.5,1009.1,51,4,5,11.1,NA
28.3,31.5,25.5,1007.7,75,4,15.6,25.9,NA
27.7,31.5,24.5,1006.4,65,4,19.4,29.4,NA
28.9,35.6,25,1006.9,59,4,12.6,22.2,NA
28.9,33.5,24.5,1007.4,62,4,14.4,22.2,NA
29.3,35.1,25.5,1008.1,63,4,12.6,22.2,NA
29.1,35.5,25.4,1006.8,67,4,12.4,22.2,NA
29.3,35.7,25,1006.6,67,4,13.3,18.3,NA
29.3,33.6,26,1006.2,69,4,16.7,25.9,NA
29.6,35,26.5,1006.7,65,4,16.1,22.2,NA
29.4,34.1,25.5,1008.2,66,4,14.8,18.3,NA
30.9,37,26,1008.3,59,4,6.5,18.3,NA
32.2,39.5,25.6,1009,32,4,13.9,22.2,NA
31.9,39.5,26.5,1007.5,29,4,9.6,18.3,NA
31,38.2,25.3,1005.7,45,4,9.3,22.2,NA
29.8,33.5,27,1005.9,72,4,13.3,18.3,NA
30.1,34.8,27.5,1008,61,4,17.4,22.2,NA
30.5,35.5,27,1005.6,63,4,20,22.2,NA
31.4,36.4,27,1005.1,65,4,9.6,18.3,NA
31.4,37.1,27,1006.2,67,4,8.9,14.8,NA
30.8,36.9,27.5,1005.7,69,4,8.7,18.3,NA
30.9,35.5,28,1005.1,67,4,12,18.3,NA
30.6,34.2,27.5,1006.1,69,4,13,18.3,NA
30.9,35.2,27,1008,65,4,7.8,14.8,NA
31.4,35.8,27.4,1007.7,66,4,8.9,18.3,NA
31.3,36.4,27.3,1007.7,67,4,7.8,18.3,NA
31.8,37.8,27,1009.6,55,4,10.7,18.3,NA
32.3,39.9,28,1009.3,56,4,13,18.3,NA
32.1,37.8,27.5,1008.9,62,4,10.2,18.3,NA
32.9,39.5,28,1006.6,52,4,14.8,25.9,NA
33.7,40.2,29,1005,43,4,14.4,22.2,NA
31.7,36.1,27.7,1003.1,66,4,14.8,25.9,NA
32.3,36.3,29,1003,67,4,18,22.2,NA
33.2,38.8,29.5,1002.5,67,4,13.5,22.2,NA
33.1,37.2,29.5,1002,64,4,16.7,25.9,NA
32.8,38.2,29.5,1000.7,64,4,17.6,25.9,NA
32.5,36.7,29.1,1000.1,68,4,11.1,22.2,NA
32.3,37.2,29,1000.9,72,4,13.9,18.3,NA
32.3,36.4,29.4,1001.9,69,4,17.6,25.9,NA
32.8,37.8,29.5,1000.3,67,4,18.9,25.9,NA
32.7,37.5,29.6,998.8,64,4,19.8,33.5,NA
33.4,41.5,30,997.7,67,4,13.3,18.3,NA
33.1,39.5,29.5,999.9,69,4,15.2,22.2,NA
32.2,35.8,29,1001.1,72,4,15.2,18.3,NA
33.1,38.4,30,1000.7,66,4,10.7,18.3,NA
32,35.5,29,1003.3,68,4,13.9,22.2,NA
32.2,35.3,29.5,1003.9,66,4,15.2,18.3,NA
31.7,35.3,29,1004,67,4,22.2,25.9,NA
31.8,34.7,29.3,1003.8,68,4,23.5,29.4,NA
31.8,35.5,29.5,1005,70,4,21.3,29.4,NA
32.3,35.5,29.5,1003.9,68,4,15.2,22.2,NA
32.3,36.2,29.5,1002.9,66,4,17.4,22.2,NA
31.9,36.2,29.3,1003.2,69,4,15.6,22.2,NA
32.1,35.5,29.5,1003.2,67,4,21.3,25.9,NA
31.9,35.5,29,1003,67,4,20.7,29.4,NA
31.8,35.8,29.5,1003.3,70,4,20.4,25.9,NA
32.1,35.5,29.8,1002.2,69,4,20.4,29.4,NA
32.4,35.7,29.5,1001,68,4,18.5,22.2,NA
32.9,37.5,30,1001,66,4,17,25.9,NA
32.8,36.4,30.5,1001.5,66,4,18,22.2,NA
32.3,35.5,30,1001.8,68,4,15.6,18.3,NA
32.3,35.8,30,1000.2,68,4,19.4,25.9,NA
32.5,36.4,30,996.4,71,4,16.7,22.2,NA
32.8,36.9,30.5,994.7,73,4,15.7,22.2,NA
33.4,38.6,30,997.4,65,4,11.1,18.3,NA
33.7,37.2,30.5,998.9,67,4,7.4,14.8,NA
34.4,40.6,31.5,999,64,4,14.8,22.2,NA
35.3,42,30.5,996.6,59,4,13,14.8,NA
34.2,41.3,30.5,995.1,68,4,14.3,22.2,NA
34.6,39.9,30.7,996.1,63,3.5,10.6,29.4,NA
33.8,40.5,30.5,996.6,62,4,6.9,18.3,NA
34.2,38.8,29.5,996.4,60,4,15.2,25.9,NA
34,38.4,30.5,996.5,64,4,9.3,22.2,NA
34.7,39.2,31,996,65,4,8.5,18.3,NA
33.9,38.1,32,993.8,67,4,20.4,29.4,NA
33.1,35.6,31.5,993,73,4,18,25.9,NA
33.4,37.1,31,995.2,71,4,16.1,22.2,NA
32.9,35.3,30.5,997.1,71,4,13.9,18.3,NA
32.1,33.9,31,995.6,75,4,13.3,22.2,NA
32.6,36,30.5,993.4,72,4,18.5,29.4,NA
33.4,36.5,31,995.4,73,4,14.4,22.2,NA
32.3,37.3,30.5,999.1,72,4,5.6,18.3,NA
30.1,38.5,27.5,1000.4,81,3.4,8.3,33.5,NA
32.3,36.6,27,1001.5,76,4,11.1,18.3,NA
32.6,35.5,30.5,999.7,72,4,19.4,25.9,NA
32.3,34.5,30.5,996.2,73,4,27.8,37,NA
32.5,35,31,996.7,72,4,25,29.4,NA
32.6,35.6,30.5,997,70,4,14.3,18.3,NA
33.3,37.3,30.4,998.3,68,4,11.5,18.3,NA
34.1,40.3,30.5,997.4,69,4,14.3,18.3,NA
34.6,40.5,32,997.2,71,4,13,22.2,NA
33.9,38.2,31.5,996.8,70,4,14.3,22.2,NA
32.8,38.5,30.5,995.2,72,4,11.1,14.8,NA
33.8,39.1,32,996.3,67,4,6.9,14.8,NA
34.3,40.5,31.5,996.3,66,4,7.4,14.8,NA
32.8,37.6,29.5,997.4,77,3.7,14.3,25.9,NA
31.6,34.5,29.7,997.4,78,4,17.6,22.2,NA
30.9,32.6,30,994.2,81,4,17,22.2,NA
31.3,34.2,29.5,993.5,78,4,15.6,18.3,NA
31.4,34.1,30,995.7,76,4,16.1,22.2,NA
31.6,34.6,29.4,996.8,74,4,15.2,22.2,NA
31.8,35.5,30,996.2,75,4,9.3,14.8,NA
31.6,35.4,29.5,996,76,3.7,5.6,18.3,NA
30.2,33.8,28.5,998.1,83,3.7,4.1,18.3,NA
31.1,33.7,27.9,999.2,80,4,12.8,22.2,NA
29.8,31.6,28.5,997.7,87,4,19.4,25.9,NA
29.2,31.1,28,997.9,86,3.4,14.3,18.3,NA
29.7,31.4,27.5,998.4,83,4,13.1,14.8,NA
29.9,33.3,28,998.1,83,3.5,10.7,22.2,NA
29.6,33.1,27,1000.5,81,3.7,8.5,11.1,NA
29.3,30.2,27,1001,81,3.5,12.4,18.3,NA
29.9,32.3,28.4,1001,74,4,23.5,29.4,NA
29.9,31.9,28.5,1002.1,76,4,15.6,18.3,NA
30.1,32.7,29,1003.7,77,4,18,25.9,NA
29.6,31.5,28.5,1003,80,4,21.9,33.5,NA
28.3,30.5,27.5,1000.5,86,3.4,18.5,25.9,NA
30.6,34.1,27.5,1003.3,77,4,13,22.2,NA
30.2,33.5,28,1003.9,77,4,15.2,22.2,NA
30.2,33.5,28,1002.4,78,4,17.2,25.9,NA
29.4,32,27,1001,80,4,12,14.8,NA
29.8,32.5,28,1002.4,79,4,8.3,14.8,NA
29.6,32.1,27.5,1004.1,78,4,10.7,14.8,NA
30.8,35.1,28,1004,72,4,13,18.3,NA
30.2,32.9,28.5,1003.5,75,4,16.9,22.2,NA
30.9,34,28,1003.9,71,4,16.1,22.2,NA
31.1,35.3,28.5,1003.7,72,4,16.7,22.2,NA
31.2,34.5,28.5,1003.8,71,4,16.7,22.2,NA
31.2,35.2,28,1003.4,71,4,16.5,18.3,NA
31.7,35.5,28.5,1001.6,67,4,16.3,22.2,NA
29.3,34.8,26.5,998.8,79,3.5,16.3,29.4,NA
29.1,33.1,25.5,998.3,82,4,12.4,18.3,NA
27.1,28.5,26,1000,88,4,9.3,18.3,NA
27.5,28.9,26,998.2,90,2.6,10.2,18.3,NA
27.4,29.1,25.5,998.2,81,4,28.7,37,NA
27.3,30.2,23.5,1004.1,84,3.5,12.4,22.2,NA
28.4,32.6,23.5,1005,83,4,2.8,11.1,NA
28.9,33,25,1004.3,77,4,4.6,14.8,NA
29.8,33.4,25.5,1004.6,74,4,8,14.8,NA
30.4,34.9,27,1004.2,73,4,14.8,18.3,NA
29.4,32,27.5,1002.1,77,4,18.9,25.9,NA
28.8,31.1,27.5,1003.7,79,4,13.9,22.2,NA
28.9,32,27,1004.9,78,4,11.7,18.3,NA
30,35.1,26.5,1005,75,4,13.9,18.3,NA
29.4,32.8,27.5,1002.8,74,4,15.7,22.2,NA
29.5,33.5,27.4,1001.5,75,4,11.7,14.8,NA
30,34.1,27.5,1002.7,72,3.7,12,14.8,NA
29.6,33.3,27.5,1003,74,4,15.6,18.3,NA
28.9,31,26.9,1002.9,73,4,18.5,25.9,NA
29.3,32.5,27,1002.6,70,4,19.4,29.4,NA
28.9,32,27,1004.4,72,4,14.3,18.3,NA
29.1,32.1,27.5,1006.2,73,4,16.1,25.9,NA
29.5,33.5,26.5,1006.8,72,4,15.4,22.2,NA
30,33.5,27.3,1005.2,72,4,13,14.8,NA
30.1,34.5,28,1006,72,4,9.3,18.3,NA
30.1,34.6,27,1005.9,73,4,9.6,18.3,NA
29.8,34,27,1006.7,70,4,14.3,18.3,NA
29.9,34.2,27,1006.3,72,4,15.2,18.3,NA
30.1,34.1,27.5,1006,72,4,14.8,18.3,NA
30.4,35.1,28.5,1004.3,73,4,14.8,18.3,NA
30.3,34.2,27.5,1003.8,73,4,13.3,18.3,NA
30.6,35.5,27.5,1002.9,72,4,13.3,18.3,NA
30.6,35.3,27.8,1002.9,72,4,15.2,22.2,NA
29.9,34,28,1005.6,74,4,18.9,25.9,NA
30.4,34.9,28.5,1008.7,68,4,15.7,22.2,NA
30.7,35.4,27.5,1009.5,69,4,16.7,22.2,NA
30.5,35.1,27.5,1007.9,70,4,14.8,22.2,NA
30.3,35.5,27.5,1007.6,72,4,17.6,22.2,NA
30,35,27.6,1006.2,75,4,19.4,22.2,NA
29.9,33.5,27.5,1005.7,75,4,19.4,22.2,NA
29.6,33.6,27.4,1007.2,74,4,14.8,18.3,NA
30.1,34.2,27.5,1010.2,70,4,7.4,14.8,NA
31.3,37.5,26.7,1012.2,55,4,7.4,14.8,NA
32.4,39,26,1011.4,47,4,7.4,18.3,NA
33,39.9,27.5,1009.6,46,4,5.6,14.8,NA
31.3,39.8,27,1008.6,51,3.7,2.8,11.1,NA
30.6,39,25.5,1008.2,53,4,2.8,11.1,NA
30.9,38.5,24.4,1008.7,53,4,4.1,14.8,NA
31.3,36.5,24.5,1009.3,57,4,1.3,3.5,NA
31.1,35.1,27,1010,54,3.7,4.3,11.1,NA
32.1,38.1,28,1010.2,47,4,7,14.8,NA
31.8,37.5,27.5,1008.7,57,4,9.3,22.2,NA
31.1,37.4,28.3,1007.9,73,4,6.1,11.1,NA
31.4,37.6,26.5,1008.6,62,3.7,5.6,18.3,NA
32.6,39.2,27.5,1009.3,48,4,5.7,14.8,NA
32.1,39.1,27.8,1009.7,53,4,6.1,18.3,NA
30.8,37.5,27,1010.5,60,4,6.1,18.3,NA
30.6,37.8,25.8,1011.5,62,4,8.3,18.3,NA
30.6,38,26,1012,56,4,4.3,11.1,NA
30.9,39.2,23.5,1012.1,43,4,3.1,11.1,NA
31.9,39.5,24,1011,46,4,7.4,14.8,NA
32.2,39.7,25,1010.1,59,4,9.1,14.8,NA
31.1,39.5,23.5,1008.1,60,4,5.6,14.8,NA
30.7,37.6,25,1006.7,67,4,8.3,14.8,NA
29.5,35.1,25.4,1008.3,76,4,7.4,14.8,NA
29.3,34.8,25.2,1010.4,76,3.7,7.8,18.3,NA
29.5,35.5,24.5,1012.3,69,3.2,2.8,11.1,NA
30.4,37.3,25,1012.9,54,4,6.5,14.8,NA
29.4,35.3,24,1012.2,71,3.7,7.4,14.8,NA
28.9,34.9,23.5,1012.6,71,3.5,4.1,14.8,NA
29.1,35.9,23.4,1012.2,56,3.7,4.3,11.1,NA
28.8,35.5,23.5,1013.6,60,4,5,14.8,NA
28.9,35.9,23,1014.7,62,3.7,5.6,14.8,NA
28.8,34.6,22.8,1013.1,72,4,8.9,18.3,NA
28.8,34.2,24.3,1012.8,74,4,4.1,11.1,NA
28.4,34.5,24,1013.6,73,4,8.3,14.8,NA
28.2,33.5,22.5,1013.8,71,3.5,4.6,11.1,NA
28.1,33.6,23.5,1013.4,72,3.7,5,14.8,NA
27.8,32.8,23.4,1012.5,72,3.7,2.8,14.8,NA
27.7,33.3,23,1011.7,62,4,4.3,14.8,NA
27.5,34.3,22,1012.8,48,4,3.7,11.1,NA
26.9,33.5,21.5,1013.4,50,3.5,6.5,14.8,NA
26.9,33.3,20.7,1012.8,62,3.7,4.6,18.3,NA
27.2,33.5,21.7,1013.4,62,3.1,5.6,18.3,NA
26.6,32.8,20.5,1013.3,62,3.7,5.2,14.8,NA
26.4,31.8,20.8,1013.3,68,4,7.4,22.2,NA
26.2,32.7,21,1014.3,70,3.5,0.9,7.6,NA
25,33.2,19.5,1015.2,53,4,2.2,11.1,NA
26.2,33.1,19.2,1014.8,60,3.4,6.3,22.2,NA
25.8,32.2,19.5,1013,73,3.5,6.5,14.8,NA
25.9,31.8,20.4,1013.6,71,3.2,4.1,11.1,NA
25.7,32.3,21.5,1014.3,67,3.5,3.7,11.1,NA
25.3,31.6,20.4,1013.8,51,3.5,9.6,18.3,NA
24.6,31.7,17.8,1012,45,3.1,7,11.1,NA
26.1,30.5,18.5,1014.5,40,3.4,17.2,25.9,NA
24.6,30.1,20,1015.8,43,3.2,13.9,25.9,NA
23.6,30.2,16.5,1015,52,3.5,8.3,14.8,NA
22.8,31,16.5,1013.2,53,4,5.2,11.1,NA
21.6,29.9,14,1012.5,34,3.2,4.3,11.1,NA
22,30,12.7,1014.5,21,4,8,11.1,NA
19.3,28.4,11,1017.1,24,4,8.3,11.1,NA
18.3,26.2,11.5,1017.7,28,4,7.4,14.8,NA
19,27.4,11.3,1017.1,34,3.2,7.4,14.8,NA
18.1,25.5,11.5,1018,22,3.4,10,14.8,NA
19.2,25.4,12.4,1019,21,3.7,17.6,29.4,NA
18.9,25.5,13.5,1018.2,26,4,12.6,22.2,NA
18.9,27,12.2,1018.2,28,3.7,4.6,7.6,NA
19,28.6,10.5,1016.6,36,3.1,3.1,11.1,NA
19.8,28.2,10.6,1015.6,28,3.2,9.3,18.3,NA
17.8,24,13,1015.2,32,4,11.1,22.2,NA
19.4,26.2,12.5,1014.2,31,3.2,7.8,18.3,NA
18.6,25.5,12,1016.2,24,4,13.5,25.9,NA
18,25.3,9.2,1014.8,25,3.7,11.1,22.2,NA
18.8,26.2,9.5,1013.5,43,3.5,5.2,11.1,NA
18.8,26,12,1015.3,48,3.1,7,11.1,NA
18.2,23.5,13.5,1018,44,3.2,15.7,22.2,NA
17.8,24.2,11.8,1019.2,35,3.5,13.5,22.2,NA
18.1,25,10.4,1020,31,3.2,12.6,18.3,NA
18.2,26.5,10.5,1019.6,31,3.5,6.1,11.1,NA
17.8,26.9,8.5,1019.6,36,4,7,11.1,NA
17.8,26,9,1020.3,28,3.2,9.8,14.8,NA
18.4,26.5,10.5,1019,37,3.2,6.9,14.8,NA
19.3,27,10.5,1018.8,32,3.2,7.4,14.8,NA
